catalog,detaillink,location,name,number,time
产品/项目类,position_detail.php?id=30909&keywords=&tid=0&lid=0,深圳,TEG02-网络平台产品经理（深圳）,1,2017-06-16
技术类,position_detail.php?id=30912&keywords=&tid=0&lid=0,深圳,TEG04-运营开发工程师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=27954&keywords=&tid=0&lid=0,深圳,18402-移动游戏社区运营策划（深圳）,1,2017-06-17
职能类,position_detail.php?id=29351&keywords=&tid=0&lid=0,深圳,HY3-互娱数据分析经理（深圳）,1,2017-06-17
技术类,position_detail.php?id=28600&keywords=&tid=0&lid=0,深圳,21228-体育游戏活动策划(深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30893&keywords=&tid=0&lid=0,深圳,MIG09-浏览器社区用户运营经理,1,2017-06-16
市场类,position_detail.php?id=29344&keywords=&tid=0&lid=0,深圳,22086-体育活动营销（北京）,4,2017-06-17
产品/项目类,position_detail.php?id=29915&keywords=&tid=0&lid=0,深圳,18403-移动游戏本地化运营策划(深圳),1,2017-06-17
技术类,position_detail.php?id=30931&keywords=&tid=0&lid=0,深圳,15687-3D游戏技术美术(深圳),1,2017-06-17
产品/项目类,position_detail.php?id=29450&keywords=&tid=0&lid=0,深圳,18402-移动游戏渠道运营经理（微信）,1,2017-06-17
产品/项目类,position_detail.php?id=29815&keywords=&tid=0&lid=0,深圳,18404-移动游戏本地化策划,2,2017-06-17
市场类,position_detail.php?id=26660&keywords=&tid=0&lid=0,广州,15614-大型游戏开发项目经理(数据管理) (上海）,4,2017-06-17
产品/项目类,position_detail.php?id=30656&keywords=&tid=0&lid=0,深圳,18402-移动游戏数据分析师,1,2017-06-17
产品/项目类,position_detail.php?id=25340&keywords=&tid=0&lid=0,深圳,18436-财付通金融数据挖掘工程师（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30386&keywords=&tid=0&lid=0,深圳,18402-产品/平台运营经理,1,2017-06-17
技术类,position_detail.php?id=30896&keywords=&tid=0&lid=0,上海,MIG01-数据工程师,1,2017-06-16
市场类,position_detail.php?id=30249&keywords=&tid=0&lid=0,北京,21528-海外版权商务拓展（北京）,2,2017-06-16
技术类,position_detail.php?id=30913&keywords=&tid=0&lid=0,深圳,SA-腾讯社交广告微信广告产品策划经理（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=27752&keywords=&tid=0&lid=0,深圳,SNG17-QQ钱包合作运营经理（深圳）,1,2017-06-17
技术类,position_detail.php?id=29352&keywords=&tid=0&lid=0,深圳,22089-体育经纪（北京）,2,2017-06-17
职能类,position_detail.php?id=28612&keywords=&tid=0&lid=0,深圳,MIG03-IOS开发工程师,1,2017-06-17
产品/项目类,position_detail.php?id=30894&keywords=&tid=0&lid=0,广州,21882-项目经理,1,2017-06-16
设计类,position_detail.php?id=29233&keywords=&tid=0&lid=0,上海,18404-移动游戏本地化策划,1,2017-06-17
产品/项目类,position_detail.php?id=29841&keywords=&tid=0&lid=0,深圳,18404-内外部合作与市场推广,1,2017-06-17
技术类,position_detail.php?id=30824&keywords=&tid=0&lid=0,深圳,22989-腾讯云售后技术支持负责人（深圳）,2,2017-06-17
产品/项目类,position_detail.php?id=29357&keywords=&tid=0&lid=0,广州,OMG08-媒介经理（北京）,1,2017-06-17
产品/项目类,position_detail.php?id=29828&keywords=&tid=0&lid=0,深圳,MIG18-应用宝商业化产品运营经理（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=26662&keywords=&tid=0&lid=0,深圳,WXG07-企业微信行业推广运营经理（广州）,1,2017-06-17
产品/项目类,position_detail.php?id=30506&keywords=&tid=0&lid=0,深圳,18402-换装休闲手游平台合作运营,1,2017-06-17
职能类,position_detail.php?id=29316&keywords=&tid=0&lid=0,深圳,AQ-投后安全经理（深圳）,1,2017-06-16
技术类,position_detail.php?id=23920&keywords=&tid=0&lid=0,深圳,18402-移动游戏数据分析（深圳）,5,2017-06-17
产品/项目类,position_detail.php?id=30387&keywords=&tid=0&lid=0,深圳,18403-移动游戏版本管理策划（深圳）,1,2017-06-17
职能类,position_detail.php?id=30898&keywords=&tid=0&lid=0,深圳,MIG01-数据工程师,1,2017-06-16
技术类,position_detail.php?id=30266&keywords=&tid=0&lid=0,上海,15569-QQ飞车手游3D特效设计师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30914&keywords=&tid=0&lid=0,成都,19116-合作伙伴解决方案经理（深圳）,1,2017-06-16
职能类,position_detail.php?id=27758&keywords=&tid=0&lid=0,北京,18402-移动游戏版本管理策划（深圳）,2,2017-06-17
内容编辑类,position_detail.php?id=29353&keywords=&tid=0&lid=0,北京,OMG097-后台开发工程师（北京）,2,2017-06-17
产品/项目类,position_detail.php?id=28614&keywords=&tid=0&lid=0,深圳,22086-腾讯体育值班编辑（北京）,2,2017-06-17
技术类,position_detail.php?id=30895&keywords=&tid=0&lid=0,深圳,MIG08-wifi管家产品经理,1,2017-06-16
产品/项目类,position_detail.php?id=28786&keywords=&tid=0&lid=0,深圳,18402-战略规划/市场分析经理（深圳）,2,2017-06-17
产品/项目类,position_detail.php?id=29842&keywords=&tid=0&lid=0,深圳,18404-移动游戏平台合作,1,2017-06-17
产品/项目类,position_detail.php?id=30659&keywords=&tid=0&lid=0,深圳,18402-项目管理,2,2017-06-17
市场类,position_detail.php?id=29358&keywords=&tid=0&lid=0,北京,OMG08-腾讯网体育市场经理（北京）,1,2017-06-17
产品/项目类,position_detail.php?id=29728&keywords=&tid=0&lid=0,北京,18403-移动游戏数据分析（深圳）,2,2017-06-17
技术类,position_detail.php?id=28571&keywords=&tid=0&lid=0,深圳,MIG07-电脑管家客户端开发工程师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=28531&keywords=&tid=0&lid=0,深圳,21229-高级游戏市场产品分析（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=27722&keywords=&tid=0&lid=0,上海,15573-SLG类手游商业化策划（上海）,1,2017-06-16
产品/项目类,position_detail.php?id=26663&keywords=&tid=0&lid=0,深圳,16810-腾讯动漫视觉设计师（深圳）,1,2017-06-17
技术类,position_detail.php?id=26467&keywords=&tid=0&lid=0,深圳,21309-在线教育ios开发工程师（深圳）,2,2017-06-16
产品/项目类,position_detail.php?id=30533&keywords=&tid=0&lid=0,深圳,18403-版本管理,1,2017-06-17
